album_name,song_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
أجمل أغانى طلال مداح,انتظارى طال,0.9620000000000001,0.302,0.168,0.0038200000000000005,0.0911,-15.482000000000001,0.034,88.822,0.341,3
مقادير,مقادير,0.9490000000000001,0.275,0.516,0.00139,0.344,-11.026,0.0578,156.207,0.39899999999999997,17
مقادير,هللى هللى,0.9840000000000001,0.307,0.462,0.0912,0.344,-7.897,0.0374,153.19799999999998,0.494,3
مقادير,لا تقولى,0.907,0.47100000000000003,0.41,0.11199999999999999,0.727,-12.184000000000001,0.0453,103.866,0.53,5
أنادى,أنادى تسجيل حفلة,0.982,0.377,0.318,0.897,0.327,-18.541,0.038,132.306,0.711,1
أنادى,وينها تسجيل حفلة,0.981,0.401,0.32,0.925,0.32799999999999996,-18.254,0.0374,142.88,0.8059999999999999,1
أنادى,يا قمرنا تسجيل حفلة,0.8270000000000001,0.396,0.35600000000000004,0.0,0.239,-14.807,0.0392,125.096,0.615,1
El Shok Wal Hob,El Shok Wal Hob,0.9840000000000001,0.313,0.207,0.0009689999999999999,0.115,-9.552999999999999,0.039,100.18299999999999,0.284,5
El Shok Wal Hob,Hayir Ya Hammam,0.992,0.303,0.336,0.0527,0.18,-9.695,0.0345,137.512,0.43799999999999994,2
El Shok Wal Hob,Ana Zekra,0.986,0.272,0.26,0.777,0.301,-11.584000000000001,0.0334,105.93799999999999,0.27399999999999997,1
El Shok Wal Hob,Eid Meladek,0.995,0.391,0.2,0.9129999999999999,0.166,-11.972999999999999,0.0409,98.139,0.575,4
El Shok Wal Hob,Ala El Shok Meshx,0.88,0.35700000000000004,0.223,0.0,0.22899999999999998,-10.8,0.0374,127.82,0.321,1
El Shok Wal Hob,Saal Fiya,0.937,0.3,0.48100000000000004,0.45,0.272,-10.645,0.0369,123.911,0.363,2
El Shok Wal Hob,Ghenwet Hobb,0.975,0.434,0.45,0.00112,0.153,-10.404000000000002,0.0477,124.014,0.555,1
El Shok Wal Hob,Kesset Mawala,0.9590000000000001,0.40700000000000003,0.102,0.098,0.16,-13.194,0.0428,122.699,0.392,4
El Shok Wal Hob,Regei Tissal,0.9640000000000001,0.321,0.138,0.00624,0.17300000000000001,-13.955,0.0375,91.68299999999999,0.311,1
يا قمر,الغربة,0.6509999999999999,0.495,0.544,0.000267,0.0316,-12.07,0.0365,110.71600000000001,0.604,0
يا قمر,سفر,0.622,0.309,0.525,0.0006580000000000001,0.182,-11.472000000000001,0.0482,84.321,0.541,1
يا قمر,يا قمر,0.8029999999999999,0.423,0.5,0.000118,0.0534,-9.172,0.0655,113.258,0.18,0
مايصعبش عليك غالى,مايصعبش عليك غالى,0.754,0.409,0.28800000000000003,0.0,0.317,-10.589,0.0403,99.28,0.322,2
مايصعبش عليك غالى,وسط الطريق,0.754,0.39,0.469,0.00218,0.433,-10.583,0.0669,116.975,0.265,2
مايصعبش عليك غالى,وحياة اللى فات,0.8220000000000001,0.32299999999999995,0.22399999999999998,9.05e-05,0.0824,-11.300999999999998,0.035,98.361,0.20199999999999999,2
مايصعبش عليك غالى,أيوه باغير,0.664,0.425,0.2,0.0,0.0936,-12.379000000000001,0.0424,95.25,0.251,1
يا مسافر وحدك,ماكانش ع البال,0.9790000000000001,0.332,0.321,0.0017399999999999998,0.10099999999999999,-7.814,0.0542,76.374,0.217,5
أنا بستناك,أنا بستناك,0.958,0.36700000000000005,0.52,0.0009220000000000001,0.789,-7.075,0.0467,107.59899999999999,0.308,10
أنا بستناك,ع اليادى,0.705,0.397,0.526,0.0,0.239,-4.894,0.0382,127.934,0.35100000000000003,15
أنا بستناك,الطير المسافر,0.732,0.41700000000000004,0.511,0.0,0.069,-6.152,0.0378,95.471,0.483,14
أنا بستناك,أما غريبة,0.9229999999999999,0.45399999999999996,0.358,0.0,0.271,-6.752000000000001,0.0364,128.797,0.462,8
يا قمر,السفر,0.8390000000000001,0.251,0.364,0.21,0.358,-10.700999999999999,0.0345,87.23899999999999,0.473,1
موكب حب,موكب حب,0.9520000000000001,0.35,0.306,0.00331,0.7879999999999999,-14.934000000000001,0.0646,106.40700000000001,0.386,0
